,name,chamber,party,state,district,date,content,replyCount,retweetCount,likeCount,quoteCount,handle,platform,url,photos,news,text,toke,topic,enga,engaSum
240,Bernard Sanders,Senate,Independent,VT,,2021-05-19 12:58:01.000000,"In Denmark, the average worker in McDonald's makes $22 an hour, receives 6 weeks of paid vacation, 1 year of paid family leave, life insurance and a pension. Yes. If McDonald's workers in Denmark can have a decent standard of living, we can do it in the U.S. #McDonaldsStrike",1812,0,43546,0,senatorsanders,Facebook,https://facebook.com/senatorsanders/posts/10160054136782908,,,denmark average worker mcdonalds makes hour receives weeks paid vacation year paid family leave life insurance pension yes mcdonalds workers denmark decent standard living us mcdonaldsstrike,"['denmark', 'average', 'worker', 'mcdonalds', 'makes', 'hour', 'receives', 'weeks', 'paid', 'vacation', 'year', 'paid', 'family', 'leave', 'life', 'insurance', 'pension', 'yes', 'mcdonalds', 'workers', 'denmark', 'decent', 'standard', 'living', 'us', 'mcdonaldsstrike']",07,45358,50237
229,Bernard Sanders,Senate,Independent,VT,,2021-05-19 13:31:54.000000,"If we are serious about spending taxpayer dollars wisely and effectively, we've got to end the absurdity of the Pentagon being the only agency in the federal government that has not passed an independent audit ever in the history of the country. That is the very least we can do.

NPR.ORG
The Pentagon Has Never Passed An Audit. Some Senators Want To Change That",918,4160,27563,0,senatorsanders,Facebook,https://facebook.com/senatorsanders/posts/10160054218372908,,https://www.npr.org/2021/05/19/997961646/the-pentagon-has-never-passed-an-audit-some-senators-want-to-change-that?utm_campaign=npr&utm_term=nprnews&utm_source=twitter.com&utm_medium=social,serious spending taxpayer dollars wisely effectively weve got end absurdity pentagon agency federal government passed independent audit ever history country least donprorgthe pentagon never passed audit senators want change,"['serious', 'spending', 'taxpayer', 'dollars', 'wisely', 'effectively', 'weve', 'got', 'end', 'absurdity', 'pentagon', 'agency', 'federal', 'government', 'passed', 'independent', 'audit', 'ever', 'history', 'country', 'least', 'donprorgthe', 'pentagon', 'never', 'passed', 'audit', 'senators', 'want', 'change']",23,32641,67393
117,Brian J. Mast,House,Republican,FL,18,2021-05-19 00:03:56+00:00,"I have been fined $500 by @SpeakerPelosi for following CDC guidance.  

This was never about science.  It has always been about power.",1574,4703,19894,346,repbrianmast,Twitter,https://twitter.com/RepBrianMast/status/1394805988834820104,,[],fined following cdc guidance never science always power,"['fined', 'following', 'cdc', 'guidance', 'never', 'science', 'always', 'power']",22,26517,31386
149,Bernard Sanders,Senate,Independent,VT,,2021-05-19 17:36:49.000000,I'm on the Senate floor NOW calling for an immediate cease-fire in Gaza.,4790,6815,14756,0,senatorsanders,Facebook,https://facebook.com/senatorsanders/videos/2873546769627648,,,im senate floor calling immediate ceasefire gaza,"['im', 'senate', 'floor', 'calling', 'immediate', 'ceasefire', 'gaza']",25,26361,70271
208,Ted Cruz,Senate,Republican,TX,,2021-05-19 14:34:31.000000,"Pursuing the most radical agenda in United States history, it isn't surprising that President Biden is in need of political cover in an effort to pack the Supreme Court by adding several activist judges who will decree the radical policy outcomes he needs. I urge Commission members to stand up and defend the independence of the Supreme Court and prevent the court from being used as a partisan weapon. Now more than ever Congress should pass my ""Keep Nine"" Constitutional Amendment to prevent our fundamental liberties from being erased from the Bill of Rights.",986,0,18601,0,SenatorTedCruz,Facebook,https://facebook.com/SenatorTedCruz/posts/3920526991392905,,,pursuing radical agenda united states history isnt surprising president biden need political cover effort pack supreme court adding several activist judges decree radical policy outcomes needs urge commission members stand defend independence supreme court prevent court used partisan weapon ever congress pass keep nine constitutional amendment prevent fundamental liberties erased bill rights,"['pursuing', 'radical', 'agenda', 'united', 'states', 'history', 'isnt', 'surprising', 'president', 'biden', 'need', 'political', 'cover', 'effort', 'pack', 'supreme', 'court', 'adding', 'several', 'activist', 'judges', 'decree', 'radical', 'policy', 'outcomes', 'needs', 'urge', 'commission', 'members', 'stand', 'defend', 'independence', 'supreme', 'court', 'prevent', 'court', 'used', 'partisan', 'weapon', 'ever', 'congress', 'pass', 'keep', 'nine', 'constitutional', 'amendment', 'prevent', 'fundamental', 'liberties', 'erased', 'bill', 'rights']",23,19587,67393
188,Ted Cruz,Senate,Republican,TX,,2021-05-19 15:19:28.000000,I unequivocally stand with Israel.,948,0,12300,0,SenatorTedCruz,Facebook,https://facebook.com/SenatorTedCruz/videos/956563415170502,,,unequivocally stand israel,"['unequivocally', 'stand', 'israel']",25,13248,70271
77,Brian J. Mast,House,Republican,FL,18,2021-05-19 16:44:46+00:00,I lost two legs fighting terrorists in the Middle East and THEN volunteered alongside the IDF in Israel.  But Twitter says I don't have a clue.  Got it. twitter.com/MrTimeAttack/s…,260,2072,8392,102,repbrianmast,Twitter,https://twitter.com/RepBrianMast/status/1395057854235676674,,['https://twitter.com/MrTimeAttack/status/1395056411155963905'],lost two legs fighting terrorists middle east volunteered alongside idf israel twitter says dont clue got twittercommrtimeattacks,"['lost', 'two', 'legs', 'fighting', 'terrorists', 'middle', 'east', 'volunteered', 'alongside', 'idf', 'israel', 'twitter', 'says', 'dont', 'clue', 'got', 'twittercommrtimeattacks']",25,10826,70271
372,Jim Jordan,House,Republican,OH,4,2021-05-19 12:10:41.000000,Why don't Democrats in Congress want to know how #COVID19 started?,997,0,9608,0,repjimjordan,Facebook,https://facebook.com/repjimjordan/videos/757261551627372,,,dont democrats congress want know covid19 started,"['dont', 'democrats', 'congress', 'want', 'know', 'covid19', 'started']",23,10605,67393
154,Ted Cruz,Senate,Republican,TX,,2021-05-19 17:21:39.000000,"Thanks to Joe Biden, the Biden-Putin pipeline is open for business!",2436,0,6509,0,SenatorTedCruz,Facebook,https://facebook.com/SenatorTedCruz/posts/3920848098027461,https://scontent-iad3-2.xx.fbcdn.net/v/t1.6435-9/fr/cp0/e15/q65/186532390_3920847988027472_4980218102204432814_n.jpg?_nc_cat=107&ccb=1-3&_nc_sid=110474&_nc_ohc=i27DNjsuFzsAX-3xa6T&_nc_oc=AQm4wlnrZ8h2h_wLOis0G_ULBKtnFzWxLPiyn6SFxVCLnI4989Bm4hDN4AleUwYes4c&_nc_ht=scontent-iad3-2.xx&tp=14&oh=b4f67bc062b515ec7ab92a44ce823245&oe=60CA8FD7,,thanks joe biden bidenputin pipeline open business,"['thanks', 'joe', 'biden', 'bidenputin', 'pipeline', 'open', 'business']",01,8945,13764
214,Ted Cruz,Senate,Republican,TX,,2021-05-19 14:13:48.000000,"Even though Hamas is the one killing innocent civilians by using them as human shields, Democrats and the Mainstream Media are happily parroting their propaganda.",664,0,4836,0,SenatorTedCruz,Facebook,https://facebook.com/SenatorTedCruz/videos/292233405941593,,,even though hamas one killing innocent civilians using human shields democrats mainstream media happily parroting propaganda,"['even', 'though', 'hamas', 'one', 'killing', 'innocent', 'civilians', 'using', 'human', 'shields', 'democrats', 'mainstream', 'media', 'happily', 'parroting', 'propaganda']",25,5500,70271
325,Jim Jordan,House,Republican,OH,4,2021-05-19 15:58:09.000000,"It’s really something that President Biden drove an electric car while many Americans still can’t find gas.

PEOPLE.COM
Joe Biden Calls Himself a 'Car Guy' While Speeding Around in Electric Ford: 'This Sucker's Quick'",2338,720,2089,0,repjimjordan,Facebook,https://facebook.com/repjimjordan/posts/10159273725146460,,https://people.com/politics/joe-biden-touts-clean-energy-after-test-driving-electric-ford-150-car/,really something president biden drove electric car many americans still cant find gaspeoplecomjoe biden calls car guy speeding around electric ford suckers quick,"['really', 'something', 'president', 'biden', 'drove', 'electric', 'car', 'many', 'americans', 'still', 'cant', 'find', 'gaspeoplecomjoe', 'biden', 'calls', 'car', 'guy', 'speeding', 'around', 'electric', 'ford', 'suckers', 'quick']",18,5147,7620
347,Jim Jordan,House,Republican,OH,4,2021-05-19 14:15:14.000000,"President Trump: The Abraham Accords and peace in the Middle East.

President Biden: Hamas attacks Israel and war in the Middle East.",495,0,4647,0,repjimjordan,Facebook,https://facebook.com/repjimjordan/posts/10159273527856460,,,president trump abraham accords peace middle eastpresident biden hamas attacks israel war middle east,"['president', 'trump', 'abraham', 'accords', 'peace', 'middle', 'eastpresident', 'biden', 'hamas', 'attacks', 'israel', 'war', 'middle', 'east']",25,5142,70271
120,Ted Cruz,Senate,Republican,TX,,2021-05-19 22:29:14.000000,"Every single one of the 4,000 rockets Hamas has launched against our ally Israel might as well have Joe Biden’s name written on the side of it.",430,0,3702,0,SenatorTedCruz,Facebook,https://facebook.com/SenatorTedCruz/videos/225691132288610,,,every single one rockets hamas launched ally israel might well joe bidens name written side,"['every', 'single', 'one', 'rockets', 'hamas', 'launched', 'ally', 'israel', 'might', 'well', 'joe', 'bidens', 'name', 'written', 'side']",06,4132,18064
161,Ted Cruz,Senate,Republican,TX,,2021-05-19 16:35:09.000000,"In order for our energy renaissance to continue, we need to look at more ways to transport fuel and fortify our critical infrastructure from attacks.

Today, Democrats proved they don't quite understand that.",193,0,2343,0,SenatorTedCruz,Facebook,https://facebook.com/SenatorTedCruz/videos/466429001107905,,,order energy renaissance continue need look ways transport fuel fortify critical infrastructure attackstoday democrats proved dont quite understand,"['order', 'energy', 'renaissance', 'continue', 'need', 'look', 'ways', 'transport', 'fuel', 'fortify', 'critical', 'infrastructure', 'attackstoday', 'democrats', 'proved', 'dont', 'quite', 'understand']",11,2536,3634
14,Jamie Raskin,House,Democrat,MD,8,2021-05-19 23:42:07+00:00,My statement on House passage of legislation establishing an independent bipartisan 1/6 Commission: raskin.house.gov/2021/5/rep-ras… https://t.co/MQUGSe7wjS,66,344,1496,18,repraskin,Twitter,https://twitter.com/RepRaskin/status/1395162885903486980,https://pbs.twimg.com/media/E1ybPgHXEAcOvGB?format=png&name=small,['https://raskin.house.gov/2021/5/rep-raskin-s-statement-on-1-6-commission'],statement house passage legislation establishing independent bipartisan commission raskinhousegov20215repras,"['statement', 'house', 'passage', 'legislation', 'establishing', 'independent', 'bipartisan', 'commission', 'raskinhousegov20215repras']",06,1924,18064
361,Jim Jordan,House,Republican,OH,4,2021-05-19 13:07:44.000000,SHARE if you agree that it's time for Congress to investigate the origins of #COVID19.,121,0,1794,0,repjimjordan,Facebook,https://facebook.com/repjimjordan/videos/178226997537649,,,share agree time congress investigate origins covid19,"['share', 'agree', 'time', 'congress', 'investigate', 'origins', 'covid19']",13,1915,5024
355,Louie Gohmert,House,Republican,TX,1,2021-05-19 13:35:28.000000,"When Israel is threatened, we can know the United States will be next. #StandWithIsrael",150,0,1761,0,50375006903,Facebook,https://facebook.com/50375006903/posts/10159115383881904,https://scontent-iad3-2.xx.fbcdn.net/v/t1.6435-9/fr/cp0/e15/q65/187852829_10159115382561904_4489676761177048146_n.jpg?_nc_cat=106&ccb=1-3&_nc_sid=8024bb&_nc_ohc=nki8LtDlkX8AX-vIfXk&_nc_ht=scontent-iad3-2.xx&tp=14&oh=c8c4d829e2821eaa893ff9b46d1ad798&oe=60CABD91,,israel threatened know united states next standwithisrael,"['israel', 'threatened', 'know', 'united', 'states', 'next', 'standwithisrael']",25,1911,70271
