,type,name,url,twitter,facebook,handle,post_id,text,post_text,shared_text,time,image,video,video_thumbnail,video_id,likes,comments,shares,post_url,link,user_id,username,is_live,images
17,house,House Committee on Ways and Means,https://waysandmeans.house.gov/,WaysMeansCmte,waysandmeanscommitteedems,waysandmeanscommitteedems,10159377967893686,"The Ways & Means Cmte’s Building an Economy for Families Act takes action for working families. It permanently expands the #ChildTaxCredit, a crucial lifeline keeping households afloat. Learn more about BEF here ⤵️
https://waysandmeans.house.gov/media-center/press-releases/chairman-neal-unveils-groundbreaking-proposal-reshape-american-economy

WAYSANDMEANS.HOUSE.GOV
Chairman Neal Unveils Groundbreaking Proposal to Reshape the American Economy","The Ways & Means Cmte’s Building an Economy for Families Act takes action for working families. It permanently expands the #ChildTaxCredit, a crucial lifeline keeping households afloat. Learn more about BEF here ⤵️
https://waysandmeans.house.gov/media-center/press-releases/chairman-neal-unveils-groundbreaking-proposal-reshape-american-economy","WAYSANDMEANS.HOUSE.GOV
Chairman Neal Unveils Groundbreaking Proposal to Reshape the American Economy",2021-05-16 16:45:47,,,,,1,0,0,https://facebook.com/waysandmeanscommitteedems/posts/10159377967893686,https://waysandmeans.house.gov/media-center/press-releases/chairman-neal-unveils-groundbreaking-proposal-reshape-american-economy,102756388685,Ways and Means Committee,False,[]
4,house,House Committee on Oversight and Reform,https://oversight.house.gov/,oversightdems,oversightdems,oversightdems,10159868572244048,"HEARING 🚨: On Tuesday, at 10 AM, the Oversight Committee will hold a hearing to examine the pricing and business practices of AbbVie Inc., which sells the anti-inflammatory drug Humira and the cancer drug Imbruvica.

The time for justice and accountability is NOW.

YOUTUBE.COM
Unsustainable Drug Prices (Part III)","HEARING 🚨: On Tuesday, at 10 AM, the Oversight Committee will hold a hearing to examine the pricing and business practices of AbbVie Inc., which sells the anti-inflammatory drug Humira and the cancer drug Imbruvica.

The time for justice and accountability is NOW.","YOUTUBE.COM
Unsustainable Drug Prices (Part III)",2021-05-16 15:00:22,,,,,19,2,3,https://facebook.com/oversightdems/posts/10159868572244048,https://youtu.be/tRi88-5WkFo,307417714047,Oversight Dems,False,[]
18,house,House Committee on Ways and Means,https://waysandmeans.house.gov/,WaysMeansCmte,waysandmeanscommitteedems,waysandmeanscommitteedems,10159377969378686,"UPDATE from the IRS: Many families are set to receive the #AmericanRescuePlan's #ChildTaxCredit expansions starting summer 2021 ☀️

Learn more about what these expansions could do for you and your family ⬇️
https://www.irs.gov/credits-deductions/advance-child-tax-credit-payments-in-2021

IRS.GOV
Advance Child Tax Credit Payments in 2021 | Internal Revenue Service","UPDATE from the IRS: Many families are set to receive the #AmericanRescuePlan's #ChildTaxCredit expansions starting summer 2021 ☀️

Learn more about what these expansions could do for you and your family ⬇️
https://www.irs.gov/credits-deductions/advance-child-tax-credit-payments-in-2021","IRS.GOV
Advance Child Tax Credit Payments in 2021 | Internal Revenue Service",2021-05-16 12:05:53,,,,,1,1,0,https://facebook.com/waysandmeanscommitteedems/posts/10159377969378686,https://www.irs.gov/credits-deductions/advance-child-tax-credit-payments-in-2021,102756388685,Ways and Means Committee,False,[]
5,house,House Committee on Oversight and Reform,https://oversight.house.gov/,oversightdems,oversightdems,oversightdems,10159868556754048,"In light of recent cyber attacks like Solarwinds, it is IMPERATIVE that we improve cybersecurity in the private and public sector.

The Oversight Committee is working to implement permanent legislation that will do just that.

THENATIONALHERALD.COM
Maloney, Connolly, Lynch on Executive Order to Improve America’s Cybersecurity","In light of recent cyber attacks like Solarwinds, it is IMPERATIVE that we improve cybersecurity in the private and public sector.

The Oversight Committee is working to implement permanent legislation that will do just that.","THENATIONALHERALD.COM
Maloney, Connolly, Lynch on Executive Order to Improve America’s Cybersecurity",2021-05-16 09:59:20,,,,,26,0,4,https://facebook.com/oversightdems/posts/10159868556754048,https://www.thenationalherald.com/archive_politics_usa/arthro/maloney_connolly_lynch_on_executive_order_to_improve_america_s_cybersecurity-2433302/,307417714047,Oversight Dems,False,[]
30,house,House Committee on Veterans' Affairs,https://republicans-veterans.house.gov/,housevetaffairs,HouseVetsAffairs,HouseVetsAffairs,4388396651184818,"Rep. Mike Bost
May 15 at 3:57 PM ·

Thank you to all of the men and women who have served or continue to serve in our Armed Forces. #ArmedForcesDay",,"Rep. Mike Bost
May 15 at 3:57 PM ·

Thank you to all of the men and women who have served or continue to serve in our Armed Forces. #ArmedForcesDay",2021-05-15 21:00:56,https://scontent-iad3-2.xx.fbcdn.net/v/t1.6435-9/fr/cp0/e15/q65/183650301_4542702282424260_6616934383936438637_n.jpg?_nc_cat=109&ccb=1-3&_nc_sid=110474&_nc_ohc=TOE4NBGXaOEAX8BT-l6&_nc_ht=scontent-iad3-2.xx&tp=14&oh=6e2fac686ec75151c60fc42b87e4fa4c&oe=60C90CCF,,,,1,0,0,https://facebook.com/HouseVetsAffairs/posts/4388396651184818,,195809623776896,House Committee on Veterans' Affairs GOP,False,['https://scontent-iad3-2.xx.fbcdn.net/v/t1.6435-9/fr/cp0/e15/q65/183650301_4542702282424260_6616934383936438637_n.jpg?_nc_cat=109&ccb=1-3&_nc_sid=110474&_nc_ohc=TOE4NBGXaOEAX8BT-l6&_nc_ht=scontent-iad3-2.xx&tp=14&oh=6e2fac686ec75151c60fc42b87e4fa4c&oe=60C90CCF']
19,house,House Committee on Ways and Means,https://waysandmeans.house.gov/,WaysMeansCmte,waysandmeanscommitteedems,waysandmeanscommitteedems,10159377962303686,"Jobless claims continue to fall , but many still face challenges - lack of child care, health risks - and are in need of support to get through this crisis.

There is more work to do.
https://www.wsj.com/articles/weekly-jobless-claims-coronavirus-05-13-2021-11620849983

WSJ.COM
U.S. Jobless Claims Fall to Another Pandemic Low","Jobless claims continue to fall , but many still face challenges - lack of child care, health risks - and are in need of support to get through this crisis.

There is more work to do.
https://www.wsj.com/articles/weekly-jobless-claims-coronavirus-05-13-2021-11620849983","WSJ.COM
U.S. Jobless Claims Fall to Another Pandemic Low",2021-05-15 15:30:57,,,,,0,0,0,https://facebook.com/waysandmeanscommitteedems/posts/10159377962303686,https://www.wsj.com/articles/weekly-jobless-claims-coronavirus-05-13-2021-11620849983,102756388685,Ways and Means Committee,False,[]
20,house,House Committee on Ways and Means,https://waysandmeans.house.gov/,WaysMeansCmte,waysandmeanscommitteedems,waysandmeanscommitteedems,10159377959168686,"Tax Tool Alert❗ The AARP Foundation Tax-Aide is here to help.

Check out their site locator:
https://secure.aarp.org/applications/VMISLocator/searchTaxAideLocations.action

SECURE.AARP.ORG
Tax Aide Class Locator","Tax Tool Alert❗ The AARP Foundation Tax-Aide is here to help.

Check out their site locator:
https://secure.aarp.org/applications/VMISLocator/searchTaxAideLocations.action","SECURE.AARP.ORG
Tax Aide Class Locator",2021-05-15 11:15:16,,,,,0,0,0,https://facebook.com/waysandmeanscommitteedems/posts/10159377959168686,https://secure.aarp.org/applications/VMISLocator/searchTaxAideLocations.action,102756388685,Ways and Means Committee,False,[]
6,house,House Committee on Oversight and Reform,https://oversight.house.gov/,oversightdems,oversightdems,oversightdems,10159865813579048,"Earlier this week, Chair Carolyn B. Maloney introduced the Postal Service Improvement Act, offering paid parental leave to USPS employees.

It’s time to support our frontline workers and build back the US Postal Service to where it needs to be.

FEDERALTIMES.COM
Paid parental leave for USPS employees included in postal reform bills","Earlier this week, Chair Carolyn B. Maloney introduced the Postal Service Improvement Act, offering paid parental leave to USPS employees.

It’s time to support our frontline workers and build back the US Postal Service to where it needs to be.","FEDERALTIMES.COM
Paid parental leave for USPS employees included in postal reform bills",2021-05-15 11:07:38,,,,,165,6,20,https://facebook.com/oversightdems/posts/10159865813579048,https://www.federaltimes.com/management/pay-benefits/2021/05/13/paid-parental-leave-for-usps-employees-included-in-postal-reform-bills/,307417714047,Oversight Dems,False,[]
1,house,House Committee on the Budget,https://budget.house.gov/,HouseBudgetDems,housebudgetdems,housebudgetdems,10158292780729952,"Re-entering the workforce amid a health crisis is no easy decision. Especially when you have loved ones that depend on you. As Americans look to return to work, unemployment insurance is helping families pay rent and put food on the table as our nation fights to end the COVID-19 pandemic.","Re-entering the workforce amid a health crisis is no easy decision. Especially when you have loved ones that depend on you. As Americans look to return to work, unemployment insurance is helping families pay rent and put food on the table as our nation fights to end the COVID-19 pandemic.",,2021-05-14 19:25:36,,https://video-iad3-2.xx.fbcdn.net/v/t42.1790-2/186178274_3977005315721092_2254860664527975042_n.mp4?_nc_cat=109&ccb=1-3&_nc_sid=985c63&efg=eyJ2ZW5jb2RlX3RhZyI6InN2ZV9zZCJ9&_nc_ohc=1-QLFvFqhuwAX9rTN7h&_nc_rml=0&_nc_ht=video-iad3-2.xx&oh=e14d95204f9f39272863da81c528d0a2&oe=60A26BEB,https://scontent-iad3-2.xx.fbcdn.net/v/t15.13418-10/cp0/e15/q65/s320x320/166447239_803110670620402_491753646091264451_n.jpg?_nc_cat=108&ccb=1-3&_nc_sid=ccf8b3&_nc_ohc=bv7KrLszX2AAX9u5ksg&_nc_ht=scontent-iad3-2.xx&tp=9&oh=9d7f5c57ccd1cb16bfcab6a07445d234&oe=60C92AB0,219258073337318,2,0,0,https://facebook.com/housebudgetdems/videos/219258073337318,,84682344951,House Budget Committee,False,[]
21,house,House Committee on Ways and Means,https://waysandmeans.house.gov/,WaysMeansCmte,waysandmeanscommitteedems,waysandmeanscommitteedems,10159377951578686,"Good News! Distribution of the #AmericanRescuePlan's #TANF funding has begun 🎉

This will provide critical support to parents & children struggling to meet their basic needs during the pandemic.
https://www.acf.hhs.gov/ofa/data/pandemic-emergency-assistance-fund

ACF.HHS.GOV
Pandemic Emergency Assistance Fund","Good News! Distribution of the #AmericanRescuePlan's #TANF funding has begun 🎉

This will provide critical support to parents & children struggling to meet their basic needs during the pandemic.
https://www.acf.hhs.gov/ofa/data/pandemic-emergency-assistance-fund","ACF.HHS.GOV
Pandemic Emergency Assistance Fund",2021-05-14 19:00:09,,,,,0,0,0,https://facebook.com/waysandmeanscommitteedems/posts/10159377951578686,https://www.acf.hhs.gov/ofa/data/pandemic-emergency-assistance-fund,102756388685,Ways and Means Committee,False,[]
