,Unnamed: 0,name,chamber,party,state,district,date,content,replyCount,retweetCount,likeCount,quoteCount,handle,platform,url,photos,news,text,toke,superBERT,enga,cvs
610,610,Peter Meijer,House,Republican,MI,3.0,2022-02-10 23:17:30+00:00,"@tdburrell @RepBryanSteil President Trump issued the first emergency order making fentanyl analogues Schedule I in 2018, but there was a study commissioned to evaluate impact on research or treatments prior to making permanent: abcnews.go.com/Health/wireSto…",1,0,1,0,repmeijer,Twitter,https://twitter.com/RepMeijer/status/1491914252042616843,,['https://abcnews.go.com/Health/wireStory/congress-passes-extension-opioid-enforcement-tool-77402360'],president trump issued first emergency order making fentanyl analogues schedule study commissioned evaluate impact research treatments prior making permanent abcnewsgocomhealthwiresto,"['president', 'trump', 'issued', 'first', 'emergency', 'order', 'making', 'fentanyl', 'analogues', 'schedule', 'study', 'commissioned', 'evaluate', 'impact', 'research', 'treatments', 'prior', 'making', 'permanent', 'abcnewsgocomhealthwiresto']",14,2,False
625,625,Peter Meijer,House,Republican,MI,3.0,2022-02-10 23:05:12+00:00,"Proud to join @RepBryanSteil and 115 colleagues urging Biden make permanent fentanyl analogues’ Schedule 1 classification. Fentanyl makes up over 64% of overdose deaths, a harrowing reality that Michigan sheriffs shared when we met in DC earlier this week.
fxn.ws/3uHETZu",15,7,30,1,repmeijer,Twitter,https://twitter.com/RepMeijer/status/1491911153689280518,,['https://fxn.ws/3uHETZu'],proud join colleagues urging biden make permanent fentanyl analogues schedule classification fentanyl makes overdose deaths harrowing reality michigan sheriffs shared met dc earlier weekfxnws3uhetzu,"['proud', 'join', 'colleagues', 'urging', 'biden', 'make', 'permanent', 'fentanyl', 'analogues', 'schedule', 'classification', 'fentanyl', 'makes', 'overdose', 'deaths', 'harrowing', 'reality', 'michigan', 'sheriffs', 'shared', 'met', 'dc', 'earlier', 'weekfxnws3uhetzu']",14,53,False
634,634,Michael C. Burgess,House,Republican,TX,26.0,2022-02-10 22:55:07+00:00,Permanently scheduling fentanyl related substances as Classification 1 will help law enforcement combat the surge in illicit fentanyl and drugs crossing our southern border. twitter.com/RepStefanik/st…,12,1,6,0,michaelcburgess,Twitter,https://twitter.com/michaelcburgess/status/1491908618538659849,,['https://twitter.com/RepStefanik/status/1491867346616659968'],permanently scheduling fentanyl related substances classification help law enforcement combat surge illicit fentanyl drugs crossing southern border twittercomrepstefanikst,"['permanently', 'scheduling', 'fentanyl', 'related', 'substances', 'classification', 'help', 'law', 'enforcement', 'combat', 'surge', 'illicit', 'fentanyl', 'drugs', 'crossing', 'southern', 'border', 'twittercomrepstefanikst']",14,19,False
637,637,Kat Cammack,House,Republican,FL,3.0,2022-02-10 22:52:00+00:00,"Glad to join @RepBryanSteil and 115 of my colleagues on a letter to Biden about making fentanyl's Schedule 1 classification permanent. Fentanyl has made up over 64% of total U.S. overdose deaths; we need solutions.

fxn.ws/3uHETZu",6,6,18,0,repkatcammack,Twitter,https://twitter.com/RepKatCammack/status/1491907832454680579,,['https://fxn.ws/3uHETZu'],glad join colleagues letter biden making fentanyls schedule classification permanent fentanyl made total us overdose deaths need solutionsfxnws3uhetzu,"['glad', 'join', 'colleagues', 'letter', 'biden', 'making', 'fentanyls', 'schedule', 'classification', 'permanent', 'fentanyl', 'made', 'total', 'us', 'overdose', 'deaths', 'need', 'solutionsfxnws3uhetzu']",14,30,False
640,640,Doug Lamborn,House,Republican,CO,5.0,2022-02-10 22:45:54+00:00,"President Biden and Congressional Democrats’ open-border policies have allowed for fentanyl to flow across our borders and into our communities. As a result, drug overdose deaths in the U.S. topped 100,000 in 2021, for the first time (ever) in a year. https://t.co/ZIClbqGWFN",12,4,9,4,repdlamborn,Twitter,https://twitter.com/RepDLamborn/status/1491906300338388995,https://pbs.twimg.com/media/FLRQ2dSWQAczrzn?format=jpg&name=small,,president biden congressional democrats openborder policies allowed fentanyl flow across borders communities result drug overdose deaths us topped first time ever year,"['president', 'biden', 'congressional', 'democrats', 'openborder', 'policies', 'allowed', 'fentanyl', 'flow', 'across', 'borders', 'communities', 'result', 'drug', 'overdose', 'deaths', 'us', 'topped', 'first', 'time', 'ever', 'year']",14,29,False
651,651,Debbie Lesko,House,Republican,AZ,8.0,2022-02-10 22:35:00+00:00,"BREAKING: A new report finds that Mexico is the DOMINANT SOURCE for fentanyl in the U.S. 

""The drug is manufactured in illegal laboratories there using precursors from Asia – mainly the PRC – and is trafficked principally by land into the United States."" 
foxnews.com/world/mexico-d…",21,26,25,3,repdlesko,Twitter,https://twitter.com/RepDLesko/status/1491903554327662594,,['https://www.foxnews.com/world/mexico-dominant-source-fentanyl-southern-border'],breaking new report finds mexico dominant source fentanyl us drug manufactured illegal laboratories using precursors asia mainly prc trafficked principally land united states foxnewscomworldmexicod,"['breaking', 'new', 'report', 'finds', 'mexico', 'dominant', 'source', 'fentanyl', 'us', 'drug', 'manufactured', 'illegal', 'laboratories', 'using', 'precursors', 'asia', 'mainly', 'prc', 'trafficked', 'principally', 'land', 'united', 'states', 'foxnewscomworldmexicod']",12,75,False
687,687,Austin Scott,House,Republican,GA,8.0,2022-02-10 22:15:00+00:00,"If the Left were truly interested in public health, they would secure the border and stop the flow of fentanyl into our country.

I joined colleagues in sending a letter to President Biden, asking him to permanently classify fentanyl as a Schedule I drug.

foxnews.com/politics/repub…",2,1,3,0,austinscottga08,Twitter,https://twitter.com/AustinScottGA08/status/1491898521108185101,,['https://www.foxnews.com/politics/republicans-biden-label-fentanyl-schedule'],left truly interested public health would secure border stop flow fentanyl countryi joined colleagues sending letter president biden asking permanently classify fentanyl schedule drugfoxnewscompoliticsrepub,"['left', 'truly', 'interested', 'public', 'health', 'would', 'secure', 'border', 'stop', 'flow', 'fentanyl', 'countryi', 'joined', 'colleagues', 'sending', 'letter', 'president', 'biden', 'asking', 'permanently', 'classify', 'fentanyl', 'schedule', 'drugfoxnewscompoliticsrepub']",14,6,False
703,703,Dan Newhouse,House,Republican,WA,4.0,2022-02-10 22:07:00+00:00,"Today I sent a letter demanding President Biden address his open-border policies that have created a fentanyl crisis across our country.

It is imperative the Biden Administration take immediate action to protect our communities from this devastating drug.
newhouse.house.gov/media-center/p…",28,2,2,0,repnewhouse,Twitter,https://twitter.com/RepNewhouse/status/1491896507926081536,,['https://newhouse.house.gov/media-center/press-releases/newhouse-demands-biden-secure-southern-border-address-fentanyl-crisis'],today sent letter demanding president biden address openborder policies created fentanyl crisis across countryit imperative biden administration take immediate action protect communities devastating drugnewhousehousegovmediacenterp,"['today', 'sent', 'letter', 'demanding', 'president', 'biden', 'address', 'openborder', 'policies', 'created', 'fentanyl', 'crisis', 'across', 'countryit', 'imperative', 'biden', 'administration', 'take', 'immediate', 'action', 'protect', 'communities', 'devastating', 'drugnewhousehousegovmediacenterp']",14,32,False
723,723,Jake LaTurner,House,Republican,KS,2.0,2022-02-10 21:58:18+00:00,"Great meeting with Douglas County Sheriff Jay Armbrister &amp; Undersheriff Stacy Simmons in my DC office this week.

We talked about the need to secure our border &amp; stop the scourge of fentanyl that's pouring into our communities.

I am grateful for all they do to keep Kansans safe. https://t.co/m6urtnWvW5",8,1,6,0,replaturner,Twitter,https://twitter.com/RepLaTurner/status/1491894321368477698,https://pbs.twimg.com/media/FLRFZiJXIAIqxzL?format=jpg&name=small,,great meeting douglas county sheriff jay armbrister undersheriff stacy simmons dc office weekwe talked need secure border stop scourge fentanyl thats pouring communitiesi grateful keep kansans safe,"['great', 'meeting', 'douglas', 'county', 'sheriff', 'jay', 'armbrister', 'undersheriff', 'stacy', 'simmons', 'dc', 'office', 'weekwe', 'talked', 'need', 'secure', 'border', 'stop', 'scourge', 'fentanyl', 'thats', 'pouring', 'communitiesi', 'grateful', 'keep', 'kansans', 'safe']",14,15,False
729,729,Debbie Lesko,House,Republican,AZ,8.0,2022-02-10 21:52:04+00:00,"Drug overdoses in America are at record highs. In border communities in Arizona, fentanyl is the leading cause of death among teens. READ about @RepBryanSteil's letter I joined to address this crisis HERE: 👇
foxnews.com/politics/repub…",12,3,10,0,repdlesko,Twitter,https://twitter.com/RepDLesko/status/1491892750429659142,,['https://www.foxnews.com/politics/republicans-biden-label-fentanyl-schedule'],drug overdoses america record highs border communities arizona fentanyl leading cause death among teens read letter joined address crisis foxnewscompoliticsrepub,"['drug', 'overdoses', 'america', 'record', 'highs', 'border', 'communities', 'arizona', 'fentanyl', 'leading', 'cause', 'death', 'among', 'teens', 'read', 'letter', 'joined', 'address', 'crisis', 'foxnewscompoliticsrepub']",14,25,False
