,Unnamed: 0,full_name,gender,type,state,district,senate_class,party,url,twitter,facebook,youtube,youtube_id,bioguide_id,handle,post_id,text,post_text,shared_text,time,image,video,video_thumbnail,video_id,likes,comments,shares,post_url,link,user_id,username,is_live,images
164,75,Tim Kaine,M,sen,VA,,1,Democrat,https://www.kaine.senate.gov,,SenatorKaine,SenatorTimKaine,UC27LgTZlUnBQoNEQFZdn9LA,K000384,SenatorKaine,4192144467501281,"The violence we’re seeing in Israel and the Palestinian territories is absolutely gut-wrenching. Today I joined 27 of my Senate colleagues in calling for an immediate ceasefire to prevent further escalation of violence and loss of life. The U.S. must continue working to support meaningful progress toward peace in this region.

HAARETZ.COM
Dozens of Democrats urge immediate Israeli-Palestinian cease-fire to prevent further loss of life",The violence we’re seeing in Israel and the Palestinian territories is absolutely gut-wrenching. Today I joined 27 of my Senate colleagues in calling for an immediate ceasefire to prevent further escalation of violence and loss of life. The U.S. must continue working to support meaningful progress toward peace in this region.,"HAARETZ.COM
Dozens of Democrats urge immediate Israeli-Palestinian cease-fire to prevent further loss of life",2021-05-16 21:45:04,,,,,1229,134,107,https://facebook.com/SenatorKaine/posts/4192144467501281,https://www.haaretz.com/middle-east-news/.premium-dozens-of-democrats-urge-immediate-israeli-palestinian-cease-fire-1.9814443,482778861771212,U.S. Senator Tim Kaine,False,[]
22,13,John Barrasso,M,sen,WY,,1,Republican,https://www.barrasso.senate.gov,SenJohnBarrasso,johnbarrasso,barrassowyo,UC80PfiCAB2Fe1MFayWlR6GQ,B001261,johnbarrasso,10159059928340943,Congratulations to the Hot Springs County School District #1 graduating class of 2021. You are ready to pursue your goals and dreams for your future. Bobbi and I were honored to be a part of your celebration today.,Congratulations to the Hot Springs County School District #1 graduating class of 2021. You are ready to pursue your goals and dreams for your future. Bobbi and I were honored to be a part of your celebration today.,,2021-05-16 21:24:26,https://scontent-iad3-2.xx.fbcdn.net/v/t1.6435-9/fr/cp0/e15/q65/187265679_10159059925245943_6915075232173605684_n.jpg?_nc_cat=111&ccb=1-3&_nc_sid=110474&_nc_ohc=7lAYRupHJwUAX_3AQK0&_nc_ht=scontent-iad3-2.xx&tp=14&oh=4c1168f0e5baf48cc23751742fe1556c&oe=60C64A94,,,,113,7,0,https://facebook.com/johnbarrasso/posts/10159059928340943,,21146775942,John Barrasso,False,['https://scontent-iad3-2.xx.fbcdn.net/v/t1.6435-9/fr/cp0/e15/q65/187265679_10159059925245943_6915075232173605684_n.jpg?_nc_cat=111&ccb=1-3&_nc_sid=110474&_nc_ohc=7lAYRupHJwUAX_3AQK0&_nc_ht=scontent-iad3-2.xx&tp=14&oh=4c1168f0e5baf48cc23751742fe1556c&oe=60C64A94']
47,26,Kirsten E. Gillibrand,F,sen,NY,,1,Democrat,https://www.gillibrand.senate.gov,GillibrandNY,SenKirstenGillibrand,KirstenEGillibrand,UCVEloQogVsmnkd5vxJInmYg,G000555,SenKirstenGillibrand,915238565687873,"Ferrara Manufacturing normally produces clothing for some of fashion's biggest brands. But during the pandemic, they began producing PPE for hospitals and healthcare facilities across NYC and the United States. Today, I toured their facility and thanked them for their work!","Ferrara Manufacturing normally produces clothing for some of fashion's biggest brands. But during the pandemic, they began producing PPE for hospitals and healthcare facilities across NYC and the United States. Today, I toured their facility and thanked them for their work!",,2021-05-16 21:03:37,https://scontent-iad3-2.xx.fbcdn.net/v/t1.6435-9/fr/cp0/e15/q65/186564401_915238479021215_7019274727746050678_n.jpg?_nc_cat=109&ccb=1-3&_nc_sid=110474&_nc_ohc=CAxbRUV1raUAX_deawE&_nc_oc=AQlo-9ZQGn52tO_m3evYvskTZ6Xf_y47pM70a1MoSTP6kdHxK7zMRQixCwISrQzIv8s&_nc_ht=scontent-iad3-2.xx&tp=14&oh=31e55d9fdff2f6441fc90bfe76182b11&oe=60C79F1B,,,,106,4,0,https://facebook.com/SenKirstenGillibrand/posts/915238565687873,,147791132432624,U.S. Senator Kirsten Gillibrand,False,"['https://scontent-iad3-2.xx.fbcdn.net/v/t1.6435-9/fr/cp0/e15/q65/186564401_915238479021215_7019274727746050678_n.jpg?_nc_cat=109&ccb=1-3&_nc_sid=110474&_nc_ohc=CAxbRUV1raUAX_deawE&_nc_oc=AQlo-9ZQGn52tO_m3evYvskTZ6Xf_y47pM70a1MoSTP6kdHxK7zMRQixCwISrQzIv8s&_nc_ht=scontent-iad3-2.xx&tp=14&oh=31e55d9fdff2f6441fc90bfe76182b11&oe=60C79F1B', 'https://scontent-iad3-2.xx.fbcdn.net/v/t1.6435-9/fr/cp0/e15/q65/187090291_915238505687879_8621253288699018845_n.jpg?_nc_cat=102&ccb=1-3&_nc_sid=110474&_nc_ohc=pvOmVZyPULwAX9RU0ZV&_nc_ht=scontent-iad3-2.xx&tp=14&oh=b714a215be48868e92714886455fd576&oe=60C66301', 'https://scontent-iad3-2.xx.fbcdn.net/v/t1.6435-9/fr/cp0/e15/q65/187147246_915238539021209_3892934570563217574_n.jpg?_nc_cat=102&ccb=1-3&_nc_sid=110474&_nc_ohc=7TPA1pzLHeEAX9tvpG9&_nc_ht=scontent-iad3-2.xx&tp=14&oh=2a64c0fcd4524382f1e388db56565c49&oe=60C7F4AA']"
0,4,Thomas R. Carper,M,sen,DE,,1,Democrat,https://www.carper.senate.gov/public,SenatorCarper,tomcarper,senatorcarper,UCgLnvbKwu4B3navofj6Qvvw,C000174,tomcarper,4387752741235527,"Tonight, I joined Senator Jon Ossoff and 26 of my Senate colleagues in calling for an immediate ceasefire agreement in Israel and the Palestinian territories to prevent further loss of life and further escalation of violence:

https://www.ossoff.senate.gov/press-releases/sen-ossoff-leads-28-senators-urging-immediate-ceasefire-in-middle-east/

OSSOFF.SENATE.GOV
Sen. Ossoff Leads 28 Senators Urging Immediate Ceasefire in Middle East » Senator Jon Ossoff","Tonight, I joined Senator Jon Ossoff and 26 of my Senate colleagues in calling for an immediate ceasefire agreement in Israel and the Palestinian territories to prevent further loss of life and further escalation of violence:

https://www.ossoff.senate.gov/press-releases/sen-ossoff-leads-28-senators-urging-immediate-ceasefire-in-middle-east/","OSSOFF.SENATE.GOV
Sen. Ossoff Leads 28 Senators Urging Immediate Ceasefire in Middle East » Senator Jon Ossoff",2021-05-16 20:53:43,,,,,71,21,5,https://facebook.com/tomcarper/posts/4387752741235527,https://www.ossoff.senate.gov/press-releases/sen-ossoff-leads-28-senators-urging-immediate-ceasefire-in-middle-east/,124891107521733,Senator Tom Carper,False,[]
82,40,Martin Heinrich,M,sen,NM,,1,Democrat,https://www.heinrich.senate.gov,MartinHeinrich,MartinHeinrich,SenMartinHeinrich,UCBxh8IK5sMxY0Ln_0G2NYcg,H001046,MartinHeinrich,10159355048884214,"Tonight, I joined Senator Jon Ossoff and a group of Senate Dems in calling for an immediate ceasefire agreement in Israel and the Palestinian Territories to prevent further loss of life and escalation of violence.

OSSOFF.SENATE.GOV
Sen. Ossoff Leads 28 Senators Urging Immediate Ceasefire in Middle East » Senator Jon Ossoff","Tonight, I joined Senator Jon Ossoff and a group of Senate Dems in calling for an immediate ceasefire agreement in Israel and the Palestinian Territories to prevent further loss of life and escalation of violence.","OSSOFF.SENATE.GOV
Sen. Ossoff Leads 28 Senators Urging Immediate Ceasefire in Middle East » Senator Jon Ossoff",2021-05-16 20:40:02,,,,,291,54,21,https://facebook.com/MartinHeinrich/posts/10159355048884214,http://www.ossoff.senate.gov/press-releases/sen-ossoff-leads-28-senators-urging-immediate-ceasefire-in-middle-east/,137523189213,Senator Martin Heinrich,False,[]
108,51,Christopher Murphy,M,sen,CT,,1,Democrat,https://www.murphy.senate.gov,senmurphyoffice,chrismurphyct,senchrismurphy,UCbcEa40PIFpLpdDe06n3F3Q,M001169,chrismurphyct,10158784292283961,"Still need to get vaccinated? It's safe, effective, and free! Visit ct.gov/covidvaccine to make an appointment or find a walk-in vaccine site near you.","Still need to get vaccinated? It's safe, effective, and free! Visit ct.gov/covidvaccine to make an appointment or find a walk-in vaccine site near you.",,2021-05-16 19:37:55,,,,,125,9,0,https://facebook.com/chrismurphyct/posts/10158784292283961,http://ct.gov/covidvaccine,19437978960,Chris Murphy,False,[]
63,31,Marsha Blackburn,F,sen,TN,,1,Republican,https://www.blackburn.senate.gov,MarshaBlackburn,marshablackburn,RepMarshaBlackburn,UCvNnmu5mUm7xr8QXBlbtQ9w,B001243,marshablackburn,10159191923463396,"What would we do without the Tennessee National Guard? These men and women are always there when we need them most, and this recent rescue operation is no exception. Thank you for working quickly to protect and serve Tennesseans.

WKRN.COM
Tennessee National Guard aircrew rescues stranded hiker in the Smokies","What would we do without the Tennessee National Guard? These men and women are always there when we need them most, and this recent rescue operation is no exception. Thank you for working quickly to protect and serve Tennesseans.","WKRN.COM
Tennessee National Guard aircrew rescues stranded hiker in the Smokies",2021-05-16 19:16:39,,,,,479,17,31,https://facebook.com/marshablackburn/posts/10159191923463396,https://www.wkrn.com/news/tennessee-national-guard-aircrew-rescues-stranded-hiker-in-the-smokies/,6470828395,Sen. Marsha Blackburn,False,[]
89,44,James Lankford,M,sen,OK,,3,Republican,https://www.lankford.senate.gov,SenatorLankford,SenatorLankford,SenatorLankford,UCz8T6sK5fEycyWmVz6Vpe5Q,L000575,SenatorLankford,4238828516179438,President Trumps policies at the border worked. Biden’s don’t. Stick to Trump’s policies and enforce current US the law.,President Trumps policies at the border worked. Biden’s don’t. Stick to Trump’s policies and enforce current US the law.,,2021-05-16 19:00:09,,https://video-iad3-2.xx.fbcdn.net/v/t42.1790-2/184389311_285070509986117_3389902416395984906_n.mp4?_nc_cat=107&ccb=1-3&_nc_sid=985c63&efg=eyJ2ZW5jb2RlX3RhZyI6InN2ZV9zZCJ9&_nc_ohc=H-svjoi-YSgAX8tuHmo&_nc_rml=0&_nc_ht=video-iad3-2.xx&oh=fffe642f45fe6e8fcf3751b0a401d456&oe=60A26BCD,https://scontent-iad3-2.xx.fbcdn.net/v/t15.5256-10/cp0/e15/q65/s320x320/166007242_1384067825303783_5166926833048219156_n.jpg?_nc_cat=100&ccb=1-3&_nc_sid=ccf8b3&_nc_ohc=I_0-DkiJJrcAX9PUngj&_nc_ht=scontent-iad3-2.xx&tp=9&oh=177b0cab93ce0090b0b15a7f29342aca&oe=60C974B8,1384067151970517,479,145,0,https://facebook.com/SenatorLankford/videos/1384067151970517,,130873066975024,Senator James Lankford,False,[]
148,69,Elizabeth Warren,F,sen,MA,,1,Democrat,https://www.warren.senate.gov,SenWarren,senatorelizabethwarren,senelizabethwarren,UCTH9zV8Imw09J5bOoTR18_A,W000817,senatorelizabethwarren,1845291762299975,"Thanks to the COVID relief bill passed in December, you may now be eligible for a $50/month internet subsidy (or $75/month on tribal lands), and a one-time $100 subsidy to purchase a device like a computer or tablet. Learn more here.

FCC.GOV
Emergency Broadband Benefit

Federal Communications Commission
May 14 at 2:07 PM ·

Enrollment for the Emergency Broadband Benefit is now open. You may be eligible for a discount of up to $50 per month on your #broadband service, or up to $75 per month if you live on qualifying Tribal lands. Details here: https://go.usa.gov/xHwMH #DigitalDivide #BroadbandForAll","Thanks to the COVID relief bill passed in December, you may now be eligible for a $50/month internet subsidy (or $75/month on tribal lands), and a one-time $100 subsidy to purchase a device like a computer or tablet. Learn more here.","FCC.GOV
Emergency Broadband Benefit

Federal Communications Commission
May 14 at 2:07 PM ·

Enrollment for the Emergency Broadband Benefit is now open. You may be eligible for a discount of up to $50 per month on your #broadband service, or up to $75 per month if you live on qualifying Tribal lands. Details here: https://go.usa.gov/xHwMH #DigitalDivide #BroadbandForAll",2021-05-16 18:50:29,,,,,1567,53,427,https://facebook.com/senatorelizabethwarren/posts/1845291762299975,https://go.usa.gov/xHwMH,131559043673264,U.S. Senator Elizabeth Warren,False,[]
57,30,Michael F. Bennet,M,sen,CO,,3,Democrat,https://www.bennet.senate.gov/public,SenatorBennet,senbennetco,SenatorBennet,UCXB3cljpMwTyCUyLr2ZVLow,B001267,senbennetco,10159151281672733,ICYMI: Senator Warner and I are urging the Biden Administration to fully consider the risk Trump's decision to move Space Command from Colorado Springs poses to our intelligence community and our national security.,ICYMI: Senator Warner and I are urging the Biden Administration to fully consider the risk Trump's decision to move Space Command from Colorado Springs poses to our intelligence community and our national security.,,2021-05-16 18:30:02,,https://video-iad3-2.xx.fbcdn.net/v/t42.1790-2/184580201_614153776208033_1695187697994901741_n.mp4?_nc_cat=111&ccb=1-3&_nc_sid=985c63&efg=eyJ2ZW5jb2RlX3RhZyI6InN2ZV9zZCJ9&_nc_ohc=Fy6vVdRj2Y8AX-w2K6j&_nc_rml=0&_nc_ht=video-iad3-2.xx&oh=8c2aab8763479b006afc4ff71618e23f&oe=60A26FCB,https://scontent-iad3-2.xx.fbcdn.net/v/t15.13418-10/cp0/e15/q65/s320x320/182871609_135349941972825_896251197568611107_n.jpg?_nc_cat=102&ccb=1-3&_nc_sid=ccf8b3&_nc_ohc=zDklq1utpi4AX8PJiBr&_nc_ht=scontent-iad3-2.xx&tp=9&oh=62b7e8464ff90ede848e470b94b503ff&oe=60C85EF5,285555169949725,38,13,0,https://facebook.com/senbennetco/videos/285555169949725,,97172997732,Senator Michael Bennet,False,[]
