,Unnamed: 0,full_name,gender,type,state,district,senate_class,party,url,twitter,facebook,youtube,youtube_id,bioguide_id,handle,post_id,text,post_text,shared_text,time,image,video,video_thumbnail,video_id,likes,comments,shares,post_url,link,user_id,username,is_live,images
2,17,Judy Chu,F,rep,CA,27,,Democrat,https://chu.house.gov,RepJudyChu,RepJudyChu,RepJudyChu,UCfcbYOvdEXZNelM8T05nK-w,C001080,RepJudyChu,10165845305220131,"I had a great conversation with Ali Velshi today about ending the coronavirus pandemic, the importance of US leadership in deescalating violence in Israel/Gaza, and the upcoming votes in the House this week to help #StopAsianHate.","I had a great conversation with Ali Velshi today about ending the coronavirus pandemic, the importance of US leadership in deescalating violence in Israel/Gaza, and the upcoming votes in the House this week to help #StopAsianHate.",,2021-05-16 20:18:22,,https://video-iad3-2.xx.fbcdn.net/v/t42.1790-2/187264381_812422809652949_2259196893730034996_n.mp4?_nc_cat=102&ccb=1-3&_nc_sid=985c63&efg=eyJ2ZW5jb2RlX3RhZyI6InN2ZV9zZCJ9&_nc_ohc=y4JXs216ROgAX8qE-Hp&_nc_rml=0&_nc_ht=video-iad3-2.xx&oh=d69b1b4ac0a63f9c63bc5534b878a27b&oe=60A1E4C6,https://scontent-iad3-2.xx.fbcdn.net/v/t15.13418-10/cp0/e15/q65/s320x320/166340232_915068062619549_8618283462052542841_n.jpg?_nc_cat=103&ccb=1-3&_nc_sid=ccf8b3&_nc_ohc=0BF4-xsPQ8UAX9ygQs8&_nc_oc=AQm3R-ymfoEWNqBRLaqDqx59_VtwXV7w-bByMWrMg2paNNT40NwrkXJNmI8l-0is90Y&_nc_ht=scontent-iad3-2.xx&tp=9&oh=6cbd05733b30986b29bd5f29b96eed17&oe=60C71437,538641564010834,9,0,0,https://facebook.com/RepJudyChu/videos/538641564010834,,41228315130,Judy Chu,False,[]
5,24,Gerald E. Connolly,M,rep,VA,11,,Democrat,https://connolly.house.gov,GerryConnolly,CongressmanGerryConnolly,repconnolly,UC4WG9PlmoOeSLIuyVjs-RSA,C001078,CongressmanGerryConnolly,10160128274355839,"Today, Representatives David Price (D-NC), Gerald E. Connolly (D-VA), Peter Welch (D-VT), John Yarmuth (D-KY), Jan Schakowsky (D-IL), Barbara Lee (D-CA), Lloyd Doggett (D-TX), and Alan Lowenthal (D-CA) released a statement on the escalating violence in Israel and Gaza:

“The recent outbreak of violence in Israel and Gaza has led to hundreds of casualties. Innocent lives have been lost. It is of the utmost necessity that an immediate ceasefire be put in place and further bloodshed averted. The alternative is an unfolding human tragedy of unimaginable dimensions.

“Long-deferred issues demand attention, but a ceasefire comes first. We urge the Biden administration, at the highest levels, to boldly lead and take decisive action.”","Today, Representatives David Price (D-NC), Gerald E. Connolly (D-VA), Peter Welch (D-VT), John Yarmuth (D-KY), Jan Schakowsky (D-IL), Barbara Lee (D-CA), Lloyd Doggett (D-TX), and Alan Lowenthal (D-CA) released a statement on the escalating violence in Israel and Gaza:

“The recent outbreak of violence in Israel and Gaza has led to hundreds of casualties. Innocent lives have been lost. It is of the utmost necessity that an immediate ceasefire be put in place and further bloodshed averted. The alternative is an unfolding human tragedy of unimaginable dimensions.

“Long-deferred issues demand attention, but a ceasefire comes first. We urge the Biden administration, at the highest levels, to boldly lead and take decisive action.”",,2021-05-16 19:16:46,,,,,26,6,0,https://facebook.com/CongressmanGerryConnolly/posts/10160128274355839,,177164035838,Congressman Gerry Connolly,False,[]
3,18,David N. Cicilline,M,rep,RI,1,,Democrat,https://cicilline.house.gov,RepCicilline,CongressmanDavidCicilline,RepDavidCicilline,UC3sCl46o8hYP69LnidNltuw,C001084,CongressmanDavidCicilline,3907108972658332,"VIDEO.FOXNEWS.COM
Rep. Cicilline: It's up to both parties 'to call for an end to this violence'",,"VIDEO.FOXNEWS.COM
Rep. Cicilline: It's up to both parties 'to call for an end to this violence'",2021-05-16 19:00:50,,,,,42,14,0,https://facebook.com/CongressmanDavidCicilline/posts/3907108972658332,https://video.foxnews.com/v/6254473424001,186949061341027,Congressman David Cicilline,False,[]
6,26,Jim Costa,M,rep,CA,16,,Democrat,https://costa.house.gov,RepJimCosta,RepJimCosta,RepJimCostaCA20,UCVgXX23eJEai6GiBOKO6dvA,C001059,RepJimCosta,3921105091270005,"During Asian Pacific American Heritage Month let us honor the nation’s vibrant, diverse AAPI communities and the generations of Asian and Pacific Islanders who have enriched America's history.","During Asian Pacific American Heritage Month let us honor the nation’s vibrant, diverse AAPI communities and the generations of Asian and Pacific Islanders who have enriched America's history.",,2021-05-16 18:42:00,https://scontent-iad3-2.xx.fbcdn.net/v/t1.6435-9/185304295_3921104757936705_8775262078860087932_n.png?_nc_cat=105&ccb=1-3&_nc_sid=8024bb&_nc_ohc=ydFrw0lmPTEAX_vjFoS&_nc_ht=scontent-iad3-2.xx&oh=0e85b856936ae0b53891de1471380889&oe=60C5E8A0,,,,10,0,0,https://facebook.com/RepJimCosta/posts/3921105091270005,,166497040064181,Congressman Jim Costa,False,['https://scontent-iad3-2.xx.fbcdn.net/v/t1.6435-9/185304295_3921104757936705_8775262078860087932_n.png?_nc_cat=105&ccb=1-3&_nc_sid=8024bb&_nc_ohc=ydFrw0lmPTEAX_vjFoS&_nc_ht=scontent-iad3-2.xx&oh=0e85b856936ae0b53891de1471380889&oe=60C5E8A0']
11,241,James Comer,M,rep,KY,1,,Republican,https://comer.house.gov,RepJamesComer,congressmancomer,,,C001108,congressmancomer,2951433175077162,"Congressman Comer recently congratulated the Lindsey Wilson College football team from Columbia, KY for winning the NAIA National Football Championship after an undefeated season.","Congressman Comer recently congratulated the Lindsey Wilson College football team from Columbia, KY for winning the NAIA National Football Championship after an undefeated season.",,2021-05-16 18:30:28,,https://video-iad3-2.xx.fbcdn.net/v/t42.1790-2/187148600_314917600017578_3864384437645780119_n.mp4?_nc_cat=107&ccb=1-3&_nc_sid=985c63&efg=eyJ2ZW5jb2RlX3RhZyI6InN2ZV9zZCJ9&_nc_ohc=9PtEPrOAND0AX_WhvzP&_nc_rml=0&_nc_ht=video-iad3-2.xx&oh=9ca0ce9a5acd1548c87ae56030f31f4b&oe=60A1EB16,https://scontent-iad3-2.xx.fbcdn.net/v/t15.13418-10/cp0/e15/q65/s320x320/182514296_211387283905886_5425849078800884323_n.jpg?_nc_cat=105&ccb=1-3&_nc_sid=ccf8b3&_nc_ohc=QTJjz6QSJv8AX8bmKTg&_nc_ht=scontent-iad3-2.xx&tp=9&oh=fafb8974b33184b2cdc06be45de97d92&oe=60C928EC,307315774226916,57,0,0,https://facebook.com/congressmancomer/videos/307315774226916,,1888216188065538,Congressman James Comer,False,[]
7,29,Henry Cuellar,M,rep,TX,28,,Democrat,https://cuellar.house.gov,RepCuellar,152569121550,henrycuellar,UCVgEOdJx3tyILO9EjZ-heEQ,C001063,152569121550,10157912426396551,"Many American families could receive up to $300/month, per child as part of the advanced monthly #ChildTaxCredit payments I helped pass in the American Rescue Plan. File your taxes before May 17 to make sure your family starts getting your payments ASAP.

APPS.IRS.GOV
IRS Free File | Internal Revenue Service","Many American families could receive up to $300/month, per child as part of the advanced monthly #ChildTaxCredit payments I helped pass in the American Rescue Plan. File your taxes before May 17 to make sure your family starts getting your payments ASAP.","APPS.IRS.GOV
IRS Free File | Internal Revenue Service",2021-05-16 17:56:05,,,,,14,6,2,https://facebook.com/152569121550/posts/10157912426396551,https://apps.irs.gov/app/freeFile/,152569121550,U.S. Congressman Henry Cuellar,False,[]
10,34,Scott DesJarlais,M,rep,TN,4,,Republican,https://desjarlais.house.gov,DesJarlaisTN04,ScottDesJarlaisTN04,ScottDesJarlaisTN04,UCvjuSLoi3hS0ECQvJLhwOkA,D000616,ScottDesJarlaisTN04,3921024451284325,"Amy and I send our condolences and are praying for the friends and family of Rep. Mike Carter.

He was a dedicated public servant to Tennessee who will be greatly missed.","Amy and I send our condolences and are praying for the friends and family of Rep. Mike Carter.

He was a dedicated public servant to Tennessee who will be greatly missed.",,2021-05-16 12:55:07,,,,,54,6,0,https://facebook.com/ScottDesJarlaisTN04/posts/3921024451284325,,145110472209094,Scott DesJarlais,False,[]
8,29,Henry Cuellar,M,rep,TX,28,,Democrat,https://cuellar.house.gov,RepCuellar,152569121550,henrycuellar,UCVgEOdJx3tyILO9EjZ-heEQ,C001063,152569121550,10157911848921551,"My thoughts and prayers are with the family and friends of former Laredo ISD Superintendent Marcus Nelson. He served our community well and was a true advocate for LISD faculty, staff and students during his time at the district. May he Rest In Peace.

KGNS- TV 8
22 hrs ·

Breaking News!

Former Laredo ISD Superintendent Marcus Nelson has passed away.

LISD Board Member Hector Garcia confirmed the news tonight saying in a statement, ""Unfortunately, the bad news is true. Dr. Nelson passed away this morning from health complications that he had been suffering from recently.""

Dr. Nelson served as superintendent for LISD between 2009-2017 before taking a job at Waco ISD. Recently, he was serving as a consultant for Merlin ISD.","My thoughts and prayers are with the family and friends of former Laredo ISD Superintendent Marcus Nelson. He served our community well and was a true advocate for LISD faculty, staff and students during his time at the district. May he Rest In Peace.","KGNS- TV 8
22 hrs ·

Breaking News!

Former Laredo ISD Superintendent Marcus Nelson has passed away.

LISD Board Member Hector Garcia confirmed the news tonight saying in a statement, ""Unfortunately, the bad news is true. Dr. Nelson passed away this morning from health complications that he had been suffering from recently.""

Dr. Nelson served as superintendent for LISD between 2009-2017 before taking a job at Waco ISD. Recently, he was serving as a consultant for Merlin ISD.",2021-05-16 12:17:48,https://scontent-iad3-2.xx.fbcdn.net/v/t1.6435-9/fr/cp0/e15/q65/186812261_10159422713537495_7762702986192891191_n.jpg?_nc_cat=103&ccb=1-3&_nc_sid=8024bb&_nc_ohc=I6LiX6OisYcAX-V1tX4&_nc_ht=scontent-iad3-2.xx&tp=14&oh=2fd9ff4f9124d3966141a4d1d3bdf445&oe=60C8F1AC,,,,61,35,8,https://facebook.com/152569121550/posts/10157911848921551,,152569121550,U.S. Congressman Henry Cuellar,False,['https://scontent-iad3-2.xx.fbcdn.net/v/t1.6435-9/fr/cp0/e15/q65/186812261_10159422713537495_7762702986192891191_n.jpg?_nc_cat=103&ccb=1-3&_nc_sid=8024bb&_nc_ohc=I6LiX6OisYcAX-V1tX4&_nc_ht=scontent-iad3-2.xx&tp=14&oh=2fd9ff4f9124d3966141a4d1d3bdf445&oe=60C8F1AC']
1,7,Mo Brooks,M,rep,AL,5,,Republican,https://brooks.house.gov,RepMoBrooks,RepMoBrooks,RepMoBrooks,UCgsPSY0MpuQJq8vEqYUSt-g,B001274,RepMoBrooks,3922259034489391,"It was great seeing so many friends yesterday morning at the first in-person Madison County Republican Men’s Club breakfast in more than a year. I thank Alabama Republican pioneer Elbert Peters and the entire club board for inviting me to speak at this special occasion, and I look forward to attending again in the near future.","It was great seeing so many friends yesterday morning at the first in-person Madison County Republican Men’s Club breakfast in more than a year. I thank Alabama Republican pioneer Elbert Peters and the entire club board for inviting me to speak at this special occasion, and I look forward to attending again in the near future.",,2021-05-16 12:07:15,https://scontent-iad3-2.xx.fbcdn.net/v/t1.6435-9/fr/cp0/e15/q65/187423180_3922257994489495_6544940095797799559_n.jpg?_nc_cat=106&ccb=1-3&_nc_sid=110474&_nc_ohc=ynU6dblDELUAX9aKjjq&_nc_ht=scontent-iad3-2.xx&tp=14&oh=219fb34c88bcce449b73464b45b43552&oe=60C619B0,,,,269,9,0,https://facebook.com/RepMoBrooks/posts/3922259034489391,,155220881193244,Congressman Mo Brooks,False,"['https://scontent-iad3-2.xx.fbcdn.net/v/t1.6435-9/fr/cp0/e15/q65/187423180_3922257994489495_6544940095797799559_n.jpg?_nc_cat=106&ccb=1-3&_nc_sid=110474&_nc_ohc=ynU6dblDELUAX9aKjjq&_nc_ht=scontent-iad3-2.xx&tp=14&oh=219fb34c88bcce449b73464b45b43552&oe=60C619B0', 'https://scontent-iad3-2.xx.fbcdn.net/v/t1.6435-9/fr/cp0/e15/q65/186219818_3922258084489486_4955479708549181278_n.jpg?_nc_cat=110&ccb=1-3&_nc_sid=110474&_nc_ohc=t4-3LUDV3w4AX_s2yx2&_nc_oc=AQlHawL-8eTBhBvCLh8pkP0C2ySq6VdCojzhmZq8Vt3iZ2WXHAIwlPegOhv3GizrjR4&_nc_ht=scontent-iad3-2.xx&tp=14&oh=b93152b030f7993e630cf843e26f05b7&oe=60C71242', 'https://scontent-iad3-2.xx.fbcdn.net/v/t1.6435-9/fr/cp0/e15/q65/187526334_3922258017822826_6091525801948004415_n.jpg?_nc_cat=102&ccb=1-3&_nc_sid=110474&_nc_ohc=MXFiJ5q9YrkAX9MA_63&_nc_ht=scontent-iad3-2.xx&tp=14&oh=7503d59b26f090ca6124fc1a8363031f&oe=60C7038E', 'https://scontent-iad3-2.xx.fbcdn.net/v/t1.6435-9/fr/cp0/e15/q65/186929099_3922258091156152_6927199764028107491_n.jpg?_nc_cat=111&ccb=1-3&_nc_sid=110474&_nc_ohc=tCLx9K73NGgAX-ArLZS&_nc_ht=scontent-iad3-2.xx&tp=14&oh=1ce09e89e4e65609fd07f34063e8bd5b&oe=60C5ED2D']"
4,18,David N. Cicilline,M,rep,RI,1,,Democrat,https://cicilline.house.gov,RepCicilline,CongressmanDavidCicilline,RepDavidCicilline,UC3sCl46o8hYP69LnidNltuw,C001084,CongressmanDavidCicilline,3906165989419297,Will be on Fox News at 1 PM today,Will be on Fox News at 1 PM today,,2021-05-16 11:25:28,,,,,159,61,0,https://facebook.com/CongressmanDavidCicilline/posts/3906165989419297,,186949061341027,Congressman David Cicilline,False,[]
0,3,Gus M. Bilirakis,M,rep,FL,12,,Republican,https://bilirakis.house.gov,RepGusBilirakis,GusBilirakis,RepGusBilirakis,UC2z1uu1n4-60xXs5x1mvLJw,B001257,GusBilirakis,4560140774016041,"Yesterday, my team stopped by the grand opening of Ava's Dog Salon in Lutz / Wesley Chapel. Congratulations to first-time #SmallBusinessOwner Marissa Finnney and her dog, Miss Ava, on their new endeavor! 🐾🦮🦴 #gooddog #SupportSmallBusiness","Yesterday, my team stopped by the grand opening of Ava's Dog Salon in Lutz / Wesley Chapel. Congratulations to first-time #SmallBusinessOwner Marissa Finnney and her dog, Miss Ava, on their new endeavor! 🐾🦮🦴 #gooddog #SupportSmallBusiness",,2021-05-16 09:54:41,https://scontent-iad3-2.xx.fbcdn.net/v/t1.6435-9/fr/cp0/e15/q65/186523997_4560103367353115_4926246626311146490_n.jpg?_nc_cat=106&ccb=1-3&_nc_sid=110474&_nc_ohc=pvWYEhc48DkAX9jyh-y&_nc_ht=scontent-iad3-2.xx&tp=14&oh=6949d3800db3ddfeaee56893d8dcdd6f&oe=60C7B9CD,,,,58,3,0,https://facebook.com/GusBilirakis/posts/4560140774016041,,135445766485586,Congressman Gus Bilirakis,False,"['https://scontent-iad3-2.xx.fbcdn.net/v/t1.6435-9/fr/cp0/e15/q65/186523997_4560103367353115_4926246626311146490_n.jpg?_nc_cat=106&ccb=1-3&_nc_sid=110474&_nc_ohc=pvWYEhc48DkAX9jyh-y&_nc_ht=scontent-iad3-2.xx&tp=14&oh=6949d3800db3ddfeaee56893d8dcdd6f&oe=60C7B9CD', 'https://scontent-iad3-2.xx.fbcdn.net/v/t1.6435-9/fr/cp0/e15/q65/187577909_4560103564019762_6992734520489853889_n.jpg?_nc_cat=107&ccb=1-3&_nc_sid=110474&_nc_ohc=-Ff3blR28qEAX8VdoNq&_nc_ht=scontent-iad3-2.xx&tp=14&oh=6c0d25bef1dcd197df75016675fad7c6&oe=60C8C58F', 'https://scontent-iad3-2.xx.fbcdn.net/v/t1.6435-9/fr/cp0/e15/q65/187102352_4560103444019774_1156475060945487853_n.jpg?_nc_cat=104&ccb=1-3&_nc_sid=110474&_nc_ohc=bcggLv625x8AX8XpoqU&_nc_ht=scontent-iad3-2.xx&tp=14&oh=6483ff8b99be65f2de9c308b2497bfca&oe=60C70D80']"
9,29,Henry Cuellar,M,rep,TX,28,,Democrat,https://cuellar.house.gov,RepCuellar,152569121550,henrycuellar,UCVgEOdJx3tyILO9EjZ-heEQ,C001063,152569121550,10157910666841551,"It’s moment like these that remind me how lucky I am to be a father. My daughter, Christina, received her master’s degree from Texas A&M International University today and I couldn’t be more proud! Her work ethic and dedication to her studies is something I’ve always admired.

Congratulations to all TAMIU graduates and best of luck in your future!","It’s moment like these that remind me how lucky I am to be a father. My daughter, Christina, received her master’s degree from Texas A&M International University today and I couldn’t be more proud! Her work ethic and dedication to her studies is something I’ve always admired.

Congratulations to all TAMIU graduates and best of luck in your future!",,2021-05-15 22:00:54,https://scontent-iad3-2.xx.fbcdn.net/v/t1.6435-9/fr/cp0/e15/q65/186484369_10157910666631551_827033417930702372_n.jpg?_nc_cat=110&ccb=1-3&_nc_sid=110474&_nc_ohc=Gl1YkvVC7qUAX9djPwb&_nc_ht=scontent-iad3-2.xx&tp=14&oh=9cf82593277e06ce939e6c6e0657714f&oe=60C7AA54,,,,1902,617,0,https://facebook.com/152569121550/posts/10157910666841551,,152569121550,U.S. Congressman Henry Cuellar,False,['https://scontent-iad3-2.xx.fbcdn.net/v/t1.6435-9/fr/cp0/e15/q65/186484369_10157910666631551_827033417930702372_n.jpg?_nc_cat=110&ccb=1-3&_nc_sid=110474&_nc_ohc=Gl1YkvVC7qUAX9djPwb&_nc_ht=scontent-iad3-2.xx&tp=14&oh=9cf82593277e06ce939e6c6e0657714f&oe=60C7AA54']
