,topic,topName,postCount,summary,topEnga,D,R,I
0,c-1,-1_democrats_climate_congress_senate,835,"twitter.com/washingtonpost…
Jim Jordan (Republican-OH) said: Make Gas Cheap Again! Bernard Sanders (Independent-VT) said: I’ve heard Senator Manchin talk about not wanting to see our country become ‘an entitlement society.’ https://t.co/cd1rD7rTay
Katherine M. Clark (Democrat-MA) said: It’s the filibuster or gun reform. It’s the filibuster or tackling the climate crisis.",416326,176.0,133.0,1.0
1,c0,0_families_family_buildbackbetter_childcare,184,Sheldon Whitehouse (Democrat-RI) said: Mitch folded and we have until December to do Build Back Better. Bernard Sanders (Independent-VT) said: Does Senator Manchin believe that we should be the only major country on earth not to guarantee paid family and medical leave? Are the children of this country not entitled to high quality childcare and pre-K education? Ayanna Pressley (Democrat-MA) said: Housing is a human right. Val Butler Demings (Democrat-FL) said: I have spent my entire career in public service.,84377,88.0,32.0,1.0
2,c1,1_border_immigration_patrol_migrants,140,"Tim Scott (Republican-SC) said: At our current pace, we’ll have seen more than 2.3 million people attempt to illegally cross our Southern border just this year. WATCH: rumble.com/vnebbj-the-fac… https://t.co/2825R8WSzF
Chuck Grassley (Republican-IA) said: Pres Biden needs to enforce our immigration laws It’s long overdue The border crisis causes problems in all 50 states https://t.co/HmaSq6DIEA
Marsha Blackburn (Republican-TN) said: The American dream and our freedoms are worth protecting for our children and grandchildren. House Committee on Homeland Security (N/A-N/A) said: A message to U.S. Border Patrol agents:
 
We support you. These acts of aggression must end immediately. And the fight is not over—it’s going to take all of us working together to get this done.",31636,20.0,69.0,1.0
3,c2,2_facebook_accountable_children_users,133,"Bernard Sanders (Independent-VT) said: Wealth of Mark Zuckerberg in 2009: $2 billion

Wealth of Mark Zuckerberg today: $122 billion
 
Yes. We cannot continue to let Facebook put profits over safety. Let’s indulge his line of thinking for a moment just so we can see how harmful it is to everyday investors. Marsha Blackburn (Republican-TN) said: Facebook made their platform more addicting to kids to line their pockets with cash. https://t.co/TAqnuwE41s
Marsha Blackburn (Republican-TN) said: You, not Facebook, should own the “virtual you.”",121507,27.0,28.0,1.0
4,c3,3_team_congrats_twittercomredsoxstatus_twitter,123,"Matt Gaetz (Republican-FL) said: The media vilified those who told the truth about the origins of COVID-19. twitter.com/Reuters/status…
Dan Bishop (Republican-NC) said: Shocker. twitter.com/claytravis/sta…
Ted Cruz (Republican-TX) said: Watch my questioning live ⬇️ twitter.com/cspan/status/1…
Tim Ryan (Democrat-OH) said: I'm using my inside voice this time: PASS THE PRO ACT. twitter.com/realchrisrufo/…
Dan Crenshaw (Republican-TX) said: When do you plan to respond @SecDef?",30158,46.0,40.0,0.0
5,c4,4_covid19_vaccine_vaccinated_vaccines,116,"Rand Paul (Republican-KY) said: Truth bomb! This admin's words don't match up with what I hear from Wisconsin. https://t.co/ouy5XQZ1vM
Andy Biggs (Republican-AZ) said: Biden and the Far Left have weaponized the COVID vaccine so they can stay in power and muzzle any opposition. Tom Emmer (Republican-MN) said: Can a broker-dealer like Charles Schwab deal in a digital asset that has gone through SEC registration? tennessean.com/story/news/loc…
Thomas Massie (Republican-KY) said: “80 of the most common adverse events reported after Covid-19 vaccination”

⁦⁦EXCLUSIVE by @SharylAttkisson⁩

* A report does not necessarily prove the illness or death was caused by the Covid vaccine.",74771,50.0,27.0,0.0
6,c5,5_school_fbi_intimidate_kids,108,"Jim Banks (Republican-IN) said: One of these is considered “mostly peaceful protests”, the other is being labeled domestic terrorism… https://t.co/fcNhm6L100
Jim Jordan (Republican-OH) said: Parents know what’s best for their children. Democrats on parents upset about Critical Race Theory: “domestic terrorism.” Now the Biden administration is cracking down on dissent. twitter.com/realchrisrufo/…
Tom Cotton (Republican-AR) said: Parents opposing Critical Race Theory in schools is not ""domestic extremism"" despite how activists at the Department of Justice may feel. Charles E. Schumer (Democrat-NY) said: You bet I am!",119793,12.0,47.0,0.0
7,c6,6_debt_limit_raise_republicans,96,"Hakeem S. Jeffries (Democrat-NY) said: McConnell wants right-wing policy concessions in exchange for America paying Trump administration debt. 700,000 dead, the human toll, the economic devastation, and trillions added to our debt. https://t.co/PxdCW8Zbmg
Bernard Sanders (Independent-VT) said: The Republican Party's lust for power and political gain is so great that they are prepared to default on the debt they voted for under Trump, and plunge the world's economy into chaos and depression. When the United States has bills to pay we should pay them, period. Val Butler Demings (Democrat-FL) said: Addressing the debt limit is about being fiscally responsible.",83493,34.0,28.0,1.0
8,c7,7_afghanistan_withdrawal_afghan_taliban,94,"Kevin McCarthy (Republican-CA) said: Republicans demand answers to these questions because America deserves transparency about the President's botched Afghanistan exit:

1) How many Americans were left behind? 3) What info did the Biden admin give the Taliban? Embarrassing, alarming, and unacceptable. twitter.com/jimgeraghty/st…
Tammy Duckworth (Democrat-IL) said: Our Afghan allies and partners did their part for us, time and again, for two decades half a world away.",8935,12.0,39.0,0.0
9,c8,8_veterans_honor_military_veteran,87,"Jim Jordan (Republican-OH) said: Stop firing doctors and nurses. Chuck Grassley (Republican-IA) said: My wife Barbara enjoyed greeting veterans on the Eastern Iowa Honor Flight at the WW2 memorial https://t.co/fTnmvfDbcS
Carolyn B. Maloney (Democrat-NY) said: ICYMI: #Trump’s ""Mar-a-Lago Trio"" tried to illegally influence the Dept. lgbtqnation.com/2021/10/billio…
Mark Kelly (Democrat-AZ) said: The Alexander Lofgren Veterans in Parks Act has a special place in the heart of Arizonans. This is your reminder to get screened — the best protection is early detection. Today we welcomed officers to their new ranks and remembered fallen Officer Frank Scorpo and his service to our community.",46171,27.0,33.0,1.0
