,name,chamber,party,state,district,date,content,replyCount,retweetCount,likeCount,quoteCount,handle,platform,url,photos,news,text,toke,superBERT,enga,cvs
0,Marsha Blackburn,Senate,Republican,TN,,2021-10-05 11:36:10+00:00,"I will not cancel Christmas. I will hug, travel, celebrate, and sing the Hallelujah chorus out loud in church. Join me in planning for a blessed Thanksgiving and a very merry Christmas! https://t.co/cd1rD7rTay",80,103,468,8,marshablackburn,Twitter,https://twitter.com/MarshaBlackburn/status/1445352109717827586,https://pbs.twimg.com/ext_tw_video_thumb/1445352080210866176/pu/img/Nsr8Ida7zoIZHxLF.jpg,[],cancel christmas hug travel celebrate sing hallelujah chorus loud church join planning blessed thanksgiving merry christmas,"['cancel', 'christmas', 'hug', 'travel', 'celebrate', 'sing', 'hallelujah', 'chorus', 'loud', 'church', 'join', 'planning', 'blessed', 'thanksgiving', 'merry', 'christmas']",13,659,False
1,John Cornyn,Senate,Republican,TX,,2021-10-05 10:44:21+00:00,CNN: The sausage-making on display over the past week in Washington was bad enough for Democrats trying to preserve their wafer-thin majorities in the House and Senate next year. That all of the back and forth didn't produce any actual sausage is even worse.,64,14,64,5,johncornyn,Twitter,https://twitter.com/JohnCornyn/status/1445339066741006336,,[],cnn sausagemaking display past week washington bad enough democrats trying preserve waferthin majorities house senate next year back forth didnt produce actual sausage even worse,"['cnn', 'sausagemaking', 'display', 'past', 'week', 'washington', 'bad', 'enough', 'democrats', 'trying', 'preserve', 'waferthin', 'majorities', 'house', 'senate', 'next', 'year', 'back', 'forth', 'didnt', 'produce', 'actual', 'sausage', 'even', 'worse']",0,147,False
2,John Cornyn,Senate,Republican,TX,,2021-10-05 10:30:44+00:00,"Covid-19 live updates: Pfizer vaccine 90% effective against hospitalization, death six months later, study says washingtonpost.com/nation/2021/10…",27,12,33,2,johncornyn,Twitter,https://twitter.com/JohnCornyn/status/1445335639797510144,,['https://www.washingtonpost.com/nation/2021/10/05/covid-delta-variant-live-updates/?tid=ss_tw'],covid19 live updates pfizer vaccine effective hospitalization death six months later study says washingtonpostcomnation202110,"['covid19', 'live', 'updates', 'pfizer', 'vaccine', 'effective', 'hospitalization', 'death', 'six', 'months', 'later', 'study', 'says', 'washingtonpostcomnation202110']",3,74,False
3,John Cornyn,Senate,Republican,TX,,2021-10-05 10:22:49+00:00,The tax agency would like to look at your financial transactions above $600. What could go wrong? wsj.com/articles/inter… via @WSJOpinion,60,22,92,2,johncornyn,Twitter,https://twitter.com/JohnCornyn/status/1445333649658896384,,['https://www.wsj.com/articles/internal-revenue-service-irs-rettig-yellen-brady-bank-account-tax-proposal-revenue-privacy-data-breach-11633287461?st=v5n0qaxqb4g01ac&reflink=desktopwebshare_twitter'],tax agency would like look financial transactions could go wrong wsjcomarticlesinter via,"['tax', 'agency', 'would', 'like', 'look', 'financial', 'transactions', 'could', 'go', 'wrong', 'wsjcomarticlesinter', 'via']",0,176,False
4,Bill Hagerty,Senate,Republican,TN,,2021-10-05 02:51:36+00:00,"Great news for Humboldt and all of West Tennessee! Thank you, @Fedex, for your continued investment in Tennessee’s families and economy. 
wnbjtv.com/single-post/fe…",3,6,13,0,senatorhagerty,Twitter,https://twitter.com/SenatorHagerty/status/1445220096964710405,,['https://www.wnbjtv.com/single-post/fedex-is-expanding-in-humboldt'],great news humboldt west tennessee thank continued investment tennessees families economywnbjtvcomsinglepostfe,"['great', 'news', 'humboldt', 'west', 'tennessee', 'thank', 'continued', 'investment', 'tennessees', 'families', 'economywnbjtvcomsinglepostfe']",7,22,False
5,Tom Cotton,Senate,Republican,AR,,2021-10-05 02:20:29+00:00,Republicans are not going to give Democrats $7 trillion to enact their socialist agenda.,361,371,2415,45,sentomcotton,Twitter,https://twitter.com/SenTomCotton/status/1445212265704198154,,[],republicans going give democrats trillion enact socialist agenda,"['republicans', 'going', 'give', 'democrats', 'trillion', 'enact', 'socialist', 'agenda']",0,3192,False
6,Sheldon Whitehouse,Senate,Democrat,RI,,2021-10-05 02:18:41+00:00,"Corporate America is saving its real political effort, through its immensely powerful trade associations, for the usual anti-tax, anti-consumer, deregulatory self-dealing that’s always been the real priority. Not climate.",5,135,446,2,senwhitehouse,Twitter,https://twitter.com/SenWhitehouse/status/1445211814241914881,,[],corporate america saving real political effort immensely powerful trade associations usual antitax anticonsumer deregulatory selfdealing thats always real priority climate,"['corporate', 'america', 'saving', 'real', 'political', 'effort', 'immensely', 'powerful', 'trade', 'associations', 'usual', 'antitax', 'anticonsumer', 'deregulatory', 'selfdealing', 'thats', 'always', 'real', 'priority', 'climate']",0,588,False
7,Sheldon Whitehouse,Senate,Democrat,RI,,2021-10-05 02:18:41+00:00,It’s actually worse. Big companies like @Disney back “worst climate obstructor” #ChamberofCarbon while keeping their trade associations idle or worse on climate. Compare Coke &amp; Pepsi climate talk with American Beverage Association climate activity. theguardian.com/us-news/2021/o…,9,246,486,5,senwhitehouse,Twitter,https://twitter.com/SenWhitehouse/status/1445211811339542529,,['https://www.theguardian.com/us-news/2021/oct/01/apple-amazon-microsoft-disney-lobby-groups-climate-bill-analysis'],actually worse big companies like back worst climate obstructor chamberofcarbon keeping trade associations idle worse climate compare coke pepsi climate talk american beverage association climate activitytheguardiancomusnews2021o,"['actually', 'worse', 'big', 'companies', 'like', 'back', 'worst', 'climate', 'obstructor', 'chamberofcarbon', 'keeping', 'trade', 'associations', 'idle', 'worse', 'climate', 'compare', 'coke', 'pepsi', 'climate', 'talk', 'american', 'beverage', 'association', 'climate', 'activitytheguardiancomusnews2021o']",-1,746,False
8,Sheldon Whitehouse,Senate,Democrat,RI,,2021-10-05 02:18:41+00:00,"Or compare BankofAmerica climate talk with American Bankers Association activity, or Travelers talk with any of their many insurance associations’ activity. None of the major corporate trade associations are engaged on climate in a positive way.",2,94,328,0,senwhitehouse,Twitter,https://twitter.com/SenWhitehouse/status/1445211812987916289,,[],compare bankofamerica climate talk american bankers association activity travelers talk many insurance associations activity none major corporate trade associations engaged climate positive way,"['compare', 'bankofamerica', 'climate', 'talk', 'american', 'bankers', 'association', 'activity', 'travelers', 'talk', 'many', 'insurance', 'associations', 'activity', 'none', 'major', 'corporate', 'trade', 'associations', 'engaged', 'climate', 'positive', 'way']",16,424,False
9,Benjamin L. Cardin,Senate,Democrat,MD,,2021-10-05 02:18:36+00:00,The United States must stand with the victims of kleptocracy and cease our complicity in corruption. This means tackling the problem of the enablers of kleptocracy. #magnitsky #PandoraLeaks,3,16,57,0,senatorcardin,Twitter,https://twitter.com/SenatorCardin/status/1445211793283067909,,[],united states must stand victims kleptocracy cease complicity corruption means tackling problem enablers kleptocracy magnitsky pandoraleaks,"['united', 'states', 'must', 'stand', 'victims', 'kleptocracy', 'cease', 'complicity', 'corruption', 'means', 'tackling', 'problem', 'enablers', 'kleptocracy', 'magnitsky', 'pandoraleaks']",0,76,False
